Jméno obce,Okres,Kraj,Počet voličů,Počet odevzdaných hlasů,Počet platných hlasů,Počet volebních okrsků,Číslo obce,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
Rudná,Svitavy,Pardubický kraj,135,79,79,1,578703,1,0,0,12,0,4,20,1,2,1,0,0,2,0,2,21,0,1,0,0,0,0,10,2
Rychnov na Moravě,Svitavy,Pardubický kraj,498,243,241,1,578711,8,0,1,27,0,14,18,2,3,4,0,0,19,0,6,91,0,0,19,0,1,0,28,0
Řídký,Svitavy,Pardubický kraj,60,43,43,1,572233,8,0,0,4,0,3,1,1,0,0,0,0,6,0,3,8,0,0,6,0,0,0,3,0
Sádek,Svitavy,Pardubický kraj,405,266,265,1,578720,42,0,0,18,0,9,11,3,2,1,0,0,17,0,12,76,0,3,51,0,0,0,20,0
Sebranice,Svitavy,Pardubický kraj,755,527,523,1,578738,44,3,0,31,0,41,24,5,5,11,1,0,46,2,32,97,0,0,154,4,0,0,22,1
Sedliště,Svitavy,Pardubický kraj,191,127,127,1,578746,10,0,0,6,0,17,8,2,3,4,0,0,5,0,3,39,0,0,4,0,0,4,22,0
Sklené,Svitavy,Pardubický kraj,192,94,94,1,578754,3,0,0,8,0,1,10,1,4,0,0,0,7,0,0,30,0,0,7,0,0,0,23,0
Slatina,Svitavy,Pardubický kraj,124,83,81,1,578762,3,0,0,6,1,6,10,1,1,0,0,0,5,0,0,32,0,0,9,1,0,0,5,1
Sloupnice,Svitavy,Pardubický kraj,1367,863,859,2,580325,47,0,0,55,1,127,33,6,10,14,1,0,69,1,25,263,1,2,107,4,1,2,85,5
Staré Město,Svitavy,Pardubický kraj,787,452,451,1,578789,30,3,0,34,2,8,55,10,7,7,0,0,44,0,11,157,0,1,8,0,3,2,69,0
Stašov,Svitavy,Pardubický kraj,206,108,107,1,578801,7,0,0,8,0,1,4,1,2,2,0,0,17,0,4,41,0,0,9,0,0,0,11,0
Strakov,Svitavy,Pardubický kraj,191,127,126,1,578819,8,1,0,8,1,9,5,0,7,0,1,0,18,0,9,38,0,0,11,1,1,0,8,0
Suchá Lhota,Svitavy,Pardubický kraj,76,54,54,1,578835,8,0,0,4,0,11,0,0,0,0,0,0,1,0,2,11,0,0,13,0,1,0,3,0
Svitavy,Svitavy,Pardubický kraj,13548,7948,7905,18,577731,742,8,3,777,6,185,737,98,139,102,1,7,917,6,235,2465,6,11,523,34,35,35,821,12
Svojanov,Svitavy,Pardubický kraj,321,235,233,3,578843,41,0,0,16,0,6,10,3,3,12,0,0,21,0,4,64,0,0,25,2,0,1,24,1
Široký Důl,Svitavy,Pardubický kraj,328,201,200,1,578851,25,0,0,8,0,14,8,5,1,5,0,0,14,0,17,45,1,0,44,0,2,0,11,0
Študlov,Svitavy,Pardubický kraj,111,71,71,1,578860,9,0,0,6,0,2,15,0,0,0,0,0,6,0,1,21,0,0,2,0,3,0,6,0
Telecí,Svitavy,Pardubický kraj,325,201,199,1,578878,12,0,0,30,0,7,7,3,1,6,0,0,22,0,7,62,0,0,25,2,3,1,11,0
Trpín,Svitavy,Pardubický kraj,339,246,246,1,578886,20,0,1,34,0,6,23,4,7,1,0,0,11,1,2,57,0,1,62,1,0,2,13,0
Trstěnice,Svitavy,Pardubický kraj,406,275,275,1,578894,13,0,1,18,0,25,23,3,3,2,0,0,28,0,18,73,0,0,35,1,2,0,30,0
Tržek,Svitavy,Pardubický kraj,147,87,84,1,572616,7,0,0,8,0,11,7,1,2,0,0,0,15,1,2,8,0,0,13,0,1,0,7,1
Třebařov,Svitavy,Pardubický kraj,736,297,295,1,578908,16,1,0,19,0,9,37,3,4,6,1,0,28,0,10,102,0,3,8,0,2,1,45,0
Újezdec,Svitavy,Pardubický kraj,79,52,49,1,578916,4,0,0,5,0,5,3,0,2,0,0,0,4,0,2,15,0,0,5,0,0,0,4,0
Útěchov,Svitavy,Pardubický kraj,218,152,152,1,572624,14,1,0,15,0,2,17,4,1,10,0,1,12,0,0,50,0,0,4,1,0,0,19,1
Vendolí,Svitavy,Pardubický kraj,757,425,421,1,578932,20,0,0,37,0,52,45,1,10,4,0,0,36,0,10,129,0,2,20,5,2,1,46,1
Vidlatá Seč,Svitavy,Pardubický kraj,233,170,170,1,578941,7,0,0,6,0,19,14,2,1,2,0,1,21,0,8,45,0,1,28,0,0,0,15,0
Víska u Jevíčka,Svitavy,Pardubický kraj,136,70,70,1,578959,0,0,0,11,0,3,14,2,0,0,0,0,5,1,0,23,0,0,1,0,0,1,9,0
Vítějeves,Svitavy,Pardubický kraj,328,189,188,1,578967,7,0,0,11,0,2,24,1,1,4,0,0,7,0,3,81,0,0,13,0,0,1,31,2
Vlčkov,Svitavy,Pardubický kraj,78,60,60,1,581127,2,0,0,1,0,11,4,1,0,0,0,0,5,0,3,17,0,0,6,0,0,0,10,0
Vranová Lhota,Svitavy,Pardubický kraj,373,196,193,1,578975,12,0,0,15,0,7,29,0,3,0,0,0,10,1,7,64,0,1,5,1,0,5,33,0
Vrážné,Svitavy,Pardubický kraj,58,44,44,1,572292,4,2,0,0,0,5,2,1,0,6,0,0,11,0,1,10,0,0,1,0,0,0,1,0
Vysoká,Svitavy,Pardubický kraj,39,27,26,1,578991,5,0,0,2,0,1,1,1,0,0,2,0,0,0,0,6,0,0,7,0,0,0,1,0
Želivsko,Svitavy,Pardubický kraj,28,20,20,1,572195,1,0,0,0,0,1,4,0,2,1,0,0,2,0,0,6,0,0,0,1,0,0,2,0
Albrechtice,Ústí nad Orlicí,Pardubický kraj,368,214,214,1,547981,9,2,0,11,0,8,25,5,0,3,0,0,16,0,6,92,0,0,2,1,1,0,32,1
Anenská Studánka,Ústí nad Orlicí,Pardubický kraj,150,70,69,1,573426,5,5,0,1,0,2,11,0,0,0,0,1,3,1,0,15,0,0,10,0,0,0,14,1
Běstovice,Ústí nad Orlicí,Pardubický kraj,353,221,218,1,553760,24,3,0,12,0,17,7,2,1,7,0,1,27,0,7,79,0,0,7,0,0,0,24,0
Bošín,Ústí nad Orlicí,Pardubický kraj,81,43,43,1,548006,5,0,0,2,0,0,1,2,0,3,0,0,4,0,1,16,0,0,4,0,0,0,5,0
Brandýs nad Orlicí,Ústí nad Orlicí,Pardubický kraj,1135,767,760,1,579947,77,0,0,77,0,42,68,8,21,9,0,1,77,0,16,197,1,1,53,5,1,3,98,5
Bučina,Ústí nad Orlicí,Pardubický kraj,194,138,138,1,579963,11,0,1,9,0,16,3,1,3,0,0,0,11,2,9,39,0,0,16,0,1,2,11,3
Bystřec,Ústí nad Orlicí,Pardubický kraj,904,626,625,1,579971,67,1,1,32,2,24,51,13,9,13,1,0,47,1,18,169,1,1,85,0,0,0,84,5
Cotkytle,Ústí nad Orlicí,Pardubický kraj,318,144,143,1,579980,4,0,0,8,0,10,12,2,2,0,0,0,7,0,4,58,0,0,12,0,0,1,23,0
Čenkovice,Ústí nad Orlicí,Pardubický kraj,160,102,101,1,579998,12,0,0,6,0,7,3,1,1,0,0,1,18,0,1,32,1,0,11,0,0,0,7,0
Červená Voda,Ústí nad Orlicí,Pardubický kraj,2443,1225,1216,7,580015,142,3,3,80,1,39,159,10,8,10,0,1,91,3,72,323,1,3,74,5,0,7,175,6
Česká Rybná,Ústí nad Orlicí,Pardubický kraj,307,201,198,1,580023,10,0,0,10,0,2,15,4,2,6,0,0,28,0,4,48,1,1,18,1,1,1,44,2
Česká Třebová,Ústí nad Orlicí,Pardubický kraj,12662,7830,7787,17,580031,750,38,1,673,11,198,420,122,81,135,4,19,878,8,456,2566,5,11,412,48,36,12,878,25
České Heřmanice,Ústí nad Orlicí,Pardubický kraj,452,297,293,1,580040,26,1,0,21,0,68,17,3,1,4,0,0,27,0,10,71,0,0,30,0,1,0,13,0
České Libchavy,Ústí nad Orlicí,Pardubický kraj,477,311,309,1,580058,31,0,1,20,0,22,17,1,3,2,1,0,26,0,17,96,0,0,14,6,2,1,46,3
České Petrovice,Ústí nad Orlicí,Pardubický kraj,136,84,79,1,580066,9,0,0,5,0,5,7,0,1,0,0,1,6,0,2,23,0,0,14,1,0,2,3,0
Damníkov,Ústí nad Orlicí,Pardubický kraj,543,322,315,1,580074,14,3,0,28,0,15,49,0,5,2,0,0,25,0,5,110,0,2,16,2,0,0,38,1
Dlouhá Třebová,Ústí nad Orlicí,Pardubický kraj,1032,678,669,1,548014,47,1,0,45,0,33,36,4,7,14,1,0,67,1,33,221,0,1,38,3,1,4,111,1
Dlouhoňovice,Ústí nad Orlicí,Pardubický kraj,637,398,395,1,548031,46,0,1,18,3,34,28,6,1,3,1,0,48,0,11,120,2,1,30,6,1,2,32,1
Dobříkov,Ústí nad Orlicí,Pardubický kraj,385,267,265,1,580091,19,2,0,19,0,15,10,6,1,4,0,1,24,1,12,84,1,0,18,2,0,1,39,6
Dolní Čermná,Ústí nad Orlicí,Pardubický kraj,1056,721,718,2,580112,69,1,0,43,1,114,38,7,7,11,1,1,53,1,47,154,0,0,107,3,0,2,55,3
Dolní Dobrouč,Ústí nad Orlicí,Pardubický kraj,2063,1379,1372,4,580121,106,2,1,70,3,74,60,16,7,25,2,4,163,0,52,339,0,0,254,5,2,8,175,4
Dolní Morava,Ústí nad Orlicí,Pardubický kraj,252,204,204,1,580163,32,0,0,5,0,8,12,0,1,7,0,0,27,1,14,52,0,1,12,0,0,1,30,1
Džbánov,Ústí nad Orlicí,Pardubický kraj,276,181,180,1,580210,14,4,0,11,0,8,7,3,3,1,0,0,21,0,10,59,0,0,10,2,0,0,24,3
Hejnice,Ústí nad Orlicí,Pardubický kraj,178,127,125,1,580228,14,0,0,11,1,2,5,6,2,0,0,1,11,0,4,46,0,0,8,0,0,0,14,0
Helvíkovice,Ústí nad Orlicí,Pardubický kraj,378,285,282,1,548049,33,0,1,10,0,14,22,1,4,5,0,0,42,0,12,70,0,3,22,1,1,1,39,1
Hnátnice,Ústí nad Orlicí,Pardubický kraj,679,453,451,1,580261,49,0,2,30,1,24,30,7,3,10,0,0,64,0,7,128,0,0,44,2,1,0,47,2
Horní Čermná,Ústí nad Orlicí,Pardubický kraj,826,585,581,1,580279,47,1,1,19,2,52,24,13,4,6,0,4,75,0,20,173,0,1,59,5,3,2,67,3
Horní Heřmanice,Ústí nad Orlicí,Pardubický kraj,398,243,240,1,580295,15,0,0,31,0,19,14,10,4,1,0,0,10,0,10,70,0,0,32,0,0,0,24,0
Horní Třešňovec,Ústí nad Orlicí,Pardubický kraj,503,349,347,1,580333,54,0,0,8,0,11,13,6,9,7,1,0,41,0,12,114,0,0,30,1,1,2,36,1
Hrádek,Ústí nad Orlicí,Pardubický kraj,82,44,43,1,547972,3,0,0,1,0,2,2,1,0,0,0,0,5,2,0,14,0,0,2,0,0,1,10,0
Hrušová,Ústí nad Orlicí,Pardubický kraj,293,201,201,1,580341,20,0,1,14,0,10,25,1,0,3,0,0,20,0,7,67,0,0,4,0,1,2,26,0
Choceň,Ústí nad Orlicí,Pardubický kraj,6933,4479,4458,9,580350,603,7,8,334,13,175,234,58,26,51,4,3,615,5,166,1334,2,7,311,17,4,11,449,21
Jablonné nad Orlicí,Ústí nad Orlicí,Pardubický kraj,2317,1558,1550,4,580376,181,1,1,102,4,128,98,18,10,20,2,2,173,0,76,430,1,1,113,11,3,2,170,3
Jamné nad Orlicí,Ústí nad Orlicí,Pardubický kraj,544,377,373,1,580392,40,1,1,16,0,23,29,3,1,2,0,0,46,1,10,110,0,0,41,2,3,3,41,0
Javorník,Ústí nad Orlicí,Pardubický kraj,213,131,131,1,580406,14,0,0,12,1,13,7,6,1,0,0,1,12,0,1,48,0,0,5,0,0,0,10,0
Jehnědí,Ústí nad Orlicí,Pardubický kraj,260,188,188,1,580414,14,1,0,9,0,11,13,3,3,1,0,0,21,0,6,65,0,0,11,0,2,0,27,1
Kameničná,Ústí nad Orlicí,Pardubický kraj,258,177,175,1,580422,24,0,2,12,1,10,6,1,0,4,0,0,23,0,3,61,0,3,7,0,1,0,17,0
Klášterec nad Orlicí,Ústí nad Orlicí,Pardubický kraj,708,453,446,1,580431,47,1,1,19,1,30,33,3,6,8,0,0,41,0,12,114,0,1,45,3,1,1,77,2
Koldín,Ústí nad Orlicí,Pardubický kraj,293,204,204,1,580465,36,1,0,9,1,12,16,1,4,2,0,0,33,0,6,57,1,0,8,0,0,2,15,0
Kosořín,Ústí nad Orlicí,Pardubický kraj,136,88,88,1,574449,13,0,0,12,0,6,7,0,0,3,0,0,13,0,2,20,0,1,4,0,0,0,7,0
Králíky,Ústí nad Orlicí,Pardubický kraj,3480,2048,2039,10,580481,178,1,4,118,2,89,221,38,18,18,0,1,147,1,68,693,2,3,95,20,6,2,300,14
Krasíkov,Ústí nad Orlicí,Pardubický kraj,250,144,144,1,580490,10,0,0,12,0,3,11,1,2,2,0,0,9,0,2,54,0,0,9,1,0,0,28,0
Kunvald,Ústí nad Orlicí,Pardubický kraj,806,537,534,1,580503,57,0,0,45,1,39,46,11,8,8,0,2,87,0,37,83,0,0,62,0,3,1,40,4
Lanškroun,Ústí nad Orlicí,Pardubický kraj,7751,4824,4797,8,580511,616,7,2,352,6,150,293,122,54,84,5,3,448,5,208,1604,11,7,245,21,9,10,517,18
Leština,Ústí nad Orlicí,Pardubický kraj,251,150,148,1,571695,9,0,0,14,0,6,11,1,1,2,0,1,10,0,2,39,0,0,21,0,0,5,25,1
Letohrad,Ústí nad Orlicí,Pardubický kraj,4974,3507,3489,6,580538,346,10,2,191,2,228,187,36,30,44,3,5,476,0,206,924,4,2,405,13,9,8,346,12
Libecina,Ústí nad Orlicí,Pardubický kraj,138,90,89,1,580562,6,0,0,3,0,2,19,0,1,0,0,0,5,0,0,31,1,1,13,0,0,0,3,4
Libchavy,Ústí nad Orlicí,Pardubický kraj,1322,917,913,2,580147,141,2,0,51,0,46,84,9,7,9,0,0,114,1,30,254,0,1,58,4,2,4,95,1
Lichkov,Ústí nad Orlicí,Pardubický kraj,410,234,232,1,580571,14,1,0,15,0,8,28,2,5,3,0,0,14,0,4,78,0,0,6,0,0,1,51,2
Líšnice,Ústí nad Orlicí,Pardubický kraj,600,414,406,1,580589,65,0,0,21,2,37,19,2,1,3,0,0,44,2,19,105,0,0,41,0,3,0,42,0
Lubník,Ústí nad Orlicí,Pardubický kraj,259,167,165,1,580619,9,0,0,12,0,3,21,7,0,6,0,0,8,0,3,59,0,0,12,0,0,2,23,0
Lukavice,Ústí nad Orlicí,Pardubický kraj,898,610,604,1,580627,66,1,0,44,1,33,27,5,3,8,1,2,85,0,30,171,2,1,69,5,0,1,47,2
Luková,Ústí nad Orlicí,Pardubický kraj,593,347,346,1,580635,8,3,0,23,1,12,33,3,12,5,0,1,32,1,6,117,0,4,19,0,3,2,61,0
Mistrovice,Ústí nad Orlicí,Pardubický kraj,456,313,313,1,580643,27,0,1,15,1,25,14,7,0,7,0,0,26,0,7,76,1,1,59,1,0,0,45,0
Mladkov,Ústí nad Orlicí,Pardubický kraj,442,289,288,2,580651,11,1,0,19,1,24,28,3,3,4,0,0,33,0,4,79,0,0,19,2,0,2,53,2
Mostek,Ústí nad Orlicí,Pardubický kraj,191,139,139,1,580660,6,0,0,11,1,8,7,1,0,2,0,0,10,0,2,43,0,2,17,0,1,0,27,1
Nasavrky,Ústí nad Orlicí,Pardubický kraj,108,65,65,1,580678,4,0,0,5,0,1,4,0,1,0,0,0,9,0,6,27,0,1,5,0,0,1,1,0
Nekoř,Ústí nad Orlicí,Pardubický kraj,747,520,520,1,580686,32,1,0,30,1,21,16,8,11,4,1,8,59,1,18,138,0,0,115,0,1,1,50,4
Nové Hrady,Ústí nad Orlicí,Pardubický kraj,260,160,159,1,571920,18,0,0,5,0,15,8,2,4,5,1,0,26,0,4,40,0,0,14,0,1,0,16,0
Orlické Podhůří,Ústí nad Orlicí,Pardubický kraj,529,362,359,2,580716,40,1,0,21,0,29,25,0,6,0,0,1,28,0,21,76,0,3,49,4,1,1,49,4
Orličky,Ústí nad Orlicí,Pardubický kraj,249,153,151,1,580724,9,0,0,12,3,10,13,1,0,0,0,0,21,0,6,43,0,0,9,0,0,0,24,0
Ostrov,Ústí nad Orlicí,Pardubický kraj,520,250,247,1,580732,10,0,0,16,0,21,12,2,1,4,0,0,27,0,3,86,0,4,22,1,0,1,36,1
Oucmanice,Ústí nad Orlicí,Pardubický kraj,180,124,123,1,580741,6,0,0,6,0,10,3,3,2,0,1,0,16,1,17,36,0,0,10,0,0,0,12,0
Pastviny,Ústí nad Orlicí,Pardubický kraj,284,194,194,1,580759,21,0,0,5,0,27,13,1,5,4,0,0,13,0,4,42,0,0,44,1,0,0,14,0
Petrovice,Ústí nad Orlicí,Pardubický kraj,202,151,150,1,580767,1,0,0,6,0,16,5,2,2,1,0,0,10,0,6,55,0,0,33,2,0,0,10,1
Písečná,Ústí nad Orlicí,Pardubický kraj,419,296,295,1,580775,25,0,0,6,0,44,6,2,2,9,1,1,52,0,19,79,0,1,16,1,0,1,30,0
Plchovice,Ústí nad Orlicí,Pardubický kraj,59,40,39,1,580783,0,0,0,3,0,0,3,0,0,4,0,0,10,0,2,11,0,0,2,0,0,0,4,0
Podlesí,Ústí nad Orlicí,Pardubický kraj,223,162,161,1,580805,15,1,0,3,0,13,0,2,2,6,0,1,23,0,14,42,0,0,20,0,2,0,17,0
Přívrat,Ústí nad Orlicí,Pardubický kraj,283,200,196,1,580821,17,3,0,11,0,18,8,3,0,3,0,0,21,0,1,69,0,0,18,0,0,1,23,0
Pustina,Ústí nad Orlicí,Pardubický kraj,61,42,42,1,580830,2,0,0,2,0,4,2,1,0,0,0,0,6,0,1,9,0,0,6,1,1,0,6,1
Radhošť,Ústí nad Orlicí,Pardubický kraj,140,109,109,1,575542,3,0,1,6,0,8,14,1,2,0,0,0,13,0,0,27,0,0,17,0,0,0,15,2
Rudoltice,Ústí nad Orlicí,Pardubický kraj,1381,673,670,1,580848,48,1,0,46,1,27,63,8,8,9,1,2,77,2,20,237,0,5,23,0,5,0,85,2
Rybník,Ústí nad Orlicí,Pardubický kraj,637,395,388,1,547905,25,6,0,37,0,5,27,9,7,7,0,3,50,0,8,138,0,0,19,4,3,1,38,1
Řepníky,Ústí nad Orlicí,Pardubický kraj,313,187,185,3,572209,14,0,0,16,1,15,6,4,4,3,1,0,22,0,5,50,0,0,17,0,0,4,23,0
Řetová,Ústí nad Orlicí,Pardubický kraj,561,378,377,1,580872,16,1,0,29,0,23,20,4,5,10,0,1,31,3,9,126,0,1,58,1,2,0,36,1
Řetůvka,Ústí nad Orlicí,Pardubický kraj,227,162,160,1,580881,16,1,0,16,0,6,7,0,1,1,0,0,22,0,5,44,0,0,20,1,0,0,19,1
Sázava,Ústí nad Orlicí,Pardubický kraj,457,280,277,1,574392,21,1,1,6,0,11,10,5,1,2,0,0,21,0,15,115,0,1,18,0,5,0,44,0
Seč,Ústí nad Orlicí,Pardubický kraj,129,98,97,1,580902,11,0,0,12,0,6,2,0,1,0,0,0,9,0,6,34,0,1,6,2,0,3,3,1
Semanín,Ústí nad Orlicí,Pardubický kraj,466,271,270,1,555240,18,4,0,25,0,7,27,2,10,2,0,0,31,1,11,90,2,0,6,1,5,1,27,0
Skořenice,Ústí nad Orlicí,Pardubický kraj,332,194,194,1,580929,11,0,1,7,0,14,22,1,3,1,1,0,17,0,17,57,0,0,10,0,1,1,29,1
Slatina,Ústí nad Orlicí,Pardubický kraj,338,243,242,1,580945,16,0,0,7,1,14,36,2,2,3,0,0,34,0,8,72,0,1,14,2,1,3,26,0
Sobkovice,Ústí nad Orlicí,Pardubický kraj,202,146,145,1,547964,10,0,1,2,0,8,16,1,1,2,0,0,11,0,5,38,0,0,26,2,0,0,21,1
Sopotnice,Ústí nad Orlicí,Pardubický kraj,723,436,432,1,580961,30,1,1,44,1,18,36,4,2,4,0,1,46,0,10,137,0,0,26,1,4,3,62,1
Sruby,Ústí nad Orlicí,Pardubický kraj,466,293,291,1,580970,46,0,0,21,0,21,20,3,3,8,0,0,33,0,7,73,0,0,20,3,1,4,27,1
Stradouň,Ústí nad Orlicí,Pardubický kraj,164,87,87,1,572306,14,0,0,1,0,8,15,1,0,0,0,0,3,0,0,27,0,0,1,1,0,0,16,0
Strážná,Ústí nad Orlicí,Pardubický kraj,83,55,55,1,580988,5,0,0,1,0,0,13,1,0,0,0,0,5,0,1,23,0,0,3,0,0,0,3,0
Studené,Ústí nad Orlicí,Pardubický kraj,149,105,105,1,580996,11,0,0,6,0,12,3,1,0,1,0,0,12,0,3,19,0,0,17,1,0,0,19,0
Sudislav nad Orlicí,Ústí nad Orlicí,Pardubický kraj,105,62,62,1,581003,9,0,0,5,0,2,4,3,0,2,0,0,16,0,4,13,0,0,1,0,0,2,0,1
Sudslava,Ústí nad Orlicí,Pardubický kraj,152,109,107,1,581011,7,0,0,6,0,11,1,1,2,4,0,0,21,2,0,23,0,1,7,1,1,0,18,1
Svatý Jiří,Ústí nad Orlicí,Pardubický kraj,246,183,183,2,580708,10,0,2,13,0,22,8,2,0,0,0,0,16,0,9,69,0,0,10,0,2,0,20,0
Šedivec,Ústí nad Orlicí,Pardubický kraj,159,128,126,1,581038,4,0,0,10,0,6,11,1,2,4,0,1,12,0,5,18,1,0,37,0,0,1,13,0
Tatenice,Ústí nad Orlicí,Pardubický kraj,695,404,398,1,581046,20,0,0,30,0,12,41,6,6,2,1,0,27,1,16,128,0,0,43,7,0,0,58,0
Těchonín,Ústí nad Orlicí,Pardubický kraj,477,339,339,2,581054,31,0,0,26,2,32,35,3,2,1,0,1,31,0,7,102,0,0,9,2,1,1,53,0
Tisová,Ústí nad Orlicí,Pardubický kraj,462,333,330,1,581062,18,1,0,13,0,45,20,0,2,7,0,0,33,0,13,91,0,0,43,1,1,3,36,3
Trpík,Ústí nad Orlicí,Pardubický kraj,61,38,37,1,547921,1,4,0,4,0,2,1,2,0,0,0,0,0,0,3,12,0,0,2,0,0,0,6,0
Třebovice,Ústí nad Orlicí,Pardubický kraj,630,376,375,1,581071,25,10,0,24,0,14,39,1,3,14,1,1,24,0,13,137,0,0,16,1,0,4,47,1
Týnišťko,Ústí nad Orlicí,Pardubický kraj,134,80,79,1,575861,7,0,1,4,0,6,6,0,1,0,0,0,2,1,3,22,0,1,0,0,0,1,16,8
Újezd u Chocně,Ústí nad Orlicí,Pardubický kraj,273,133,133,1,581089,15,0,0,11,0,3,11,2,2,3,0,0,19,0,9,31,0,0,4,0,0,0,22,1
Ústí nad Orlicí,Ústí nad Orlicí,Pardubický kraj,11357,7092,7055,17,579891,841,15,6,578,1,233,516,103,57,132,3,7,845,7,389,2091,1,7,465,37,4,44,660,13
Velká Skrovnice,Ústí nad Orlicí,Pardubický kraj,230,139,139,1,581101,11,0,0,14,1,9,14,2,1,3,0,0,14,0,13,26,0,1,18,0,1,1,10,0
Verměřovice,Ústí nad Orlicí,Pardubický kraj,569,418,413,1,581119,32,2,0,18,1,21,26,4,3,6,1,3,49,0,13,117,1,0,69,2,1,1,43,0
Vinary,Ústí nad Orlicí,Pardubický kraj,104,70,68,1,572489,4,0,0,6,1,12,8,0,0,0,0,0,1,0,0,26,0,0,3,0,0,2,5,0
Voděrady,Ústí nad Orlicí,Pardubický kraj,286,213,211,2,581143,17,2,0,13,1,31,14,2,3,2,0,0,23,0,7,47,0,1,13,0,0,2,32,1
Vraclav,Ústí nad Orlicí,Pardubický kraj,596,400,397,2,581151,37,2,0,17,0,111,26,8,4,0,0,1,37,1,13,81,0,0,5,1,2,4,38,9
Vračovice-Orlov,Ústí nad Orlicí,Pardubický kraj,152,122,122,1,548022,22,3,4,1,0,17,5,2,0,2,0,0,9,0,3,24,0,1,19,1,0,0,9,0
Výprachtice,Ústí nad Orlicí,Pardubický kraj,773,530,526,1,581178,18,0,0,94,1,13,32,7,7,4,1,0,45,0,17,167,0,1,41,2,2,1,71,2
Vysoké Mýto,Ústí nad Orlicí,Pardubický kraj,9691,6036,6001,10,581186,713,9,29,408,3,306,380,104,65,94,3,8,710,8,267,1691,3,12,353,23,8,40,579,185
Zádolí,Ústí nad Orlicí,Pardubický kraj,75,52,52,1,581194,3,0,0,2,0,1,7,0,1,1,0,0,8,0,1,14,0,0,7,0,0,0,7,0
Záchlumí,Ústí nad Orlicí,Pardubický kraj,570,382,377,1,581208,26,0,0,27,1,11,17,8,9,10,1,1,48,0,9,114,0,0,25,2,1,0,67,0
Zálší,Ústí nad Orlicí,Pardubický kraj,194,125,124,1,581216,17,0,0,5,1,10,10,1,0,2,0,0,15,2,3,33,0,0,8,0,0,1,15,1
Zámrsk,Ústí nad Orlicí,Pardubický kraj,600,394,393,1,581224,29,0,2,26,0,44,42,1,2,10,0,0,41,0,9,120,0,2,5,3,2,3,36,16
Zářecká Lhota,Ústí nad Orlicí,Pardubický kraj,159,121,121,1,581232,10,0,7,5,0,14,8,0,1,1,0,0,10,0,5,40,0,4,11,0,0,0,5,0
Žamberk,Ústí nad Orlicí,Pardubický kraj,4902,3122,3105,5,581259,420,1,4,207,2,156,156,40,22,43,2,8,387,1,174,840,2,6,205,17,8,4,396,4
Žampach,Ústí nad Orlicí,Pardubický kraj,244,121,120,1,581267,13,0,2,5,0,2,6,4,3,2,0,0,20,0,1,42,0,0,4,0,0,2,12,2
Žichlínek,Ústí nad Orlicí,Pardubický kraj,768,484,479,1,581275,43,5,0,21,0,20,41,6,8,16,0,0,56,0,12,155,1,0,37,2,0,1,55,0
